filename,class,x_bottom_right,y_bottom_right,x_top_left,y_top_left,x_bottom_left,y_bottom_left,x_top_right,y_top_right
screen_768x768_346.png,parkinglot,128.8692,494.1418,120.9018,436.0065,101.8151,487.83799999999997,141.827,440.1216
screen_768x768_346.png,parkinglot,157.8494,500.0958,141.9146,439.6835,127.8184,495.5425,168.6186,444.8495
screen_768x768_346.png,parkinglot,185.954,506.2243,167.2175,445.7247,157.8494,495.893,198.47400000000002,452.55400000000003
screen_768x768_346.png,parkinglot,211.5195,512.7907,198.9118,452.55400000000003,184.9908,505.2611,224.1271,456.9317
screen_768x768_346.png,parkinglot,237.8732,520.8457,225.6157,457.8949,212.0449,512.6158,254.6836,468.051
screen_768x768_346.png,parkinglot,260.4623,529.9513,255.7341,467.5258,236.5601,522.1591,279.8115,482.0596
screen_768x768_346.png,parkinglot,374.1062,587.211,373.2306,522.8592,347.4026,574.8659,399.2341,539.8448
screen_768x768_346.png,parkinglot,402.9114,601.2197,400.8104,538.0063,373.8436,587.8241,427.7766,553.6782000000001
screen_768x768_346.png,parkinglot,432.3291,618.205,429.1775,552.4524,402.2984,603.0581999999999,457.3698,569.7003
screen_768x768_346.png,parkinglot,461.0468,632.2136,459.2959,567.9494,432.0666,619.5184,484.5112,583.0086
screen_768x768_346.png,parkinglot,491.0778,646.9226,487.7507,582.3958,460.1715,633.2642,516.2931,598.3306
screen_768x768_346.png,parkinglot,520.4079,661.1938,516.9934,598.3306,490.8153,648.2357,542.2090000000001,613.8273
screen_768x768_346.png,parkinglot,549.9139,675.63998,545.886,611.6386,518.3945,662.9447,573.7281,629.0617
screen_768x768_346.png,parkinglot,576.9675,691.57462,575.1288,628.6239,548.6877,677.74134,602.6207,640.3559
screen_768x768_356.png,parkinglot,,,,,,,,
screen_768x768_158.png,parkinglot,,,,,,,,
screen_768x768_6.png,parkinglot,,,,,,,,
screen_768x768_148.png,parkinglot,,,,,,,,
screen_768x768_287.png,parkinglot,,,,,,,,
screen_768x768_297.png,parkinglot,,,,,,,,
screen_768x768_183.png,parkinglot,246.979,393.981,207.2297,345.1261,219.2244,400.5475,234.63400000000001,337.6841
screen_768x768_183.png,parkinglot,52.522769999999994,117.83749999999998,69.07045,57.77589999999998,32.47318,100.50199999999995,95.24892,81.50279999999998
screen_768x768_183.png,parkinglot,217.2107,540.1951,158.1999,518.8321,191.3825,566.1109,178.95,501.0588
screen_768x768_183.png,parkinglot,33.96151,98.4882,34.83696,36.062599999999975,11.11004,91.39639999999997,68.36993000000001,57.68830000000003
screen_768x768_183.png,parkinglot,190.8573,405.7132,150.7578,356.8583,162.7525,414.556,180.1756,351.4299
screen_768x768_183.png,parkinglot,138.938,603.0585,86.49355,566.7238,101.3776,621.357,107.0686,554.9043
screen_768x768_183.png,parkinglot,101.2902,620.8317999999999,56.63791,572.9401,68.72026,628.1864,84.74252,566.0236
screen_768x768_183.png,parkinglot,163.8908,413.0677,121.515,362.9872,135.5234,420.7724,150.1447,357.7339
screen_768x768_183.png,parkinglot,67.31940999999999,627.9236,24.94359,579.5943,35.012190000000004,635.1906,54.624159999999996,573.4655
screen_768x768_183.png,parkinglot,193.6589,564.5349,132.1089,538.8819,164.3286,583.0963,156.8865,520.6708
screen_768x768_183.png,parkinglot,165.7295,583.8842,107.3311,556.8304,138.4127,601.8329,133.1596,537.9188
screen_768x768_183.png,parkinglot,133.7723,419.3713,93.93553,371.1295,106.7184,426.8134,122.1278,364.1252
screen_768x768_183.png,parkinglot,220.0126,399.5844,178.5997,351.0799,191.9078,406.2384,205.3034,343.8129
screen_768x768_183.png,parkinglot,76.60004,433.5552,37.72632,382.8617,50.859190000000005,438.4582,65.74329,377.6086
screen_768x768_183.png,parkinglot,106.8935,427.2513,65.13056999999999,377.1708,76.86259,433.0298,93.06008,370.1664
screen_768x768_183.png,parkinglot,272.7196,387.2394,234.1087,338.9099,246.8914,394.769,261.8631,331.99300000000005
screen_768x768_183.png,parkinglot,49.63358,440.9096,8.571007,390.8291,21.178639999999998,446.33799999999997,37.288509999999995,383.5621
screen_768x768_193.png,parkinglot,,,,,,,,
screen_768x768_324.png,parkinglot,605.948,54.36130000000003,652.6138,11.197499999999991,599.1188,25.205799999999954,660.4061,39.564700000000016
screen_768x768_334.png,parkinglot,,,,,,,,
screen_768x768_167.png,parkinglot,,,,,,,,
screen_768x768_177.png,parkinglot,365.8764,109.51980000000003,321.1367,59.702,335.5829,115.64869999999996,352.1306,53.223100000000045
screen_768x768_177.png,parkinglot,577.8433,117.83749999999998,594.3909,57.77589999999998,557.7936,100.50199999999995,620.5693,81.50279999999998
screen_768x768_177.png,parkinglot,397.1331,100.4144,352.2181,53.223100000000045,365.4387,108.90710000000001,384.5253,46.48140000000001
screen_768x768_177.png,parkinglot,742.5311,540.1951,683.5204,518.8321,716.703,566.1109,704.2704,501.0588
screen_768x768_177.png,parkinglot,559.2819999999999,98.4882,560.1574,36.062599999999975,536.4304,91.39639999999997,593.6904,57.68830000000003
screen_768x768_177.png,parkinglot,536.4304,89.38279999999997,522.597,27.132299999999987,512.7911,82.29079999999999,558.3188,37.63850000000002
screen_768x768_177.png,parkinglot,489.5019,458.8581,449.3149,408.4273,461.6599,464.6367,476.3688,402.8238
screen_768x768_177.png,parkinglot,716.1777,405.7132,676.0782,356.8583,688.073,414.556,705.4961,351.4299
screen_768x768_177.png,parkinglot,458.8583,87.4565,414.2936,38.95180000000005,428.3019,94.63589999999999,448.0015,31.50980000000004
screen_768x768_177.png,parkinglot,664.2584,603.0585,611.814,566.7238,626.6981,621.357,632.389,554.9043
screen_768x768_177.png,parkinglot,511.1276,81.94060000000002,482.1474,24.76819999999998,486.35,82.0281,522.422,27.394900000000007
screen_768x768_177.png,parkinglot,626.6106,620.8317999999999,581.9584,572.9401,594.0408,628.1864,610.0629,566.0236
screen_768x768_177.png,parkinglot,560.1574,634.6653,518.8323,586.1605999999999,528.2005,641.9322,548.0752,580.1195
screen_768x768_177.png,parkinglot,689.2113,413.0677,646.8354,362.9872,660.8438,420.7724,675.4652,357.7339
screen_768x768_177.png,parkinglot,334.7073,115.99890000000005,292.1564,65.7432,305.9898,123.52840000000003,321.3994,59.614400000000046
screen_768x768_177.png,parkinglot,592.6398,627.9236,550.264,579.5943,560.3326,635.1906,579.9446,573.4655
screen_768x768_177.png,parkinglot,718.9792,564.5349,657.4293,538.8819,689.6489999999999,583.0963,682.2069,520.6708
screen_768x768_177.png,parkinglot,691.0499,583.8842,632.6516,556.8304,663.7332,601.8329,658.48,537.9188
screen_768x768_177.png,parkinglot,518.6572,452.7294,476.6315,402.7364,489.3268,458.8581,506.0496,396.6076
